lr,batch_size,num_episodes,horizon,avg_cumulative_reward
0.002,64,200,100,9.260612864492257
0.0005,256,200,100,8.373570056536119
0.0005,128,200,100,7.99350172009998
0.001,256,200,100,7.984727856461674
0.001,64,200,100,7.7984230678785735
0.001,128,200,100,7.555409159400644
0.002,128,200,100,7.5552389536694715
0.0005,64,200,100,7.3755808649969765
0.002,256,200,100,6.94896990041168
0.002,64,100,50,4.473089984538847
0.0005,256,100,50,4.036682589932236
0.0005,128,100,50,4.0317932234912615
0.001,256,100,50,3.9466777720454354
0.001,128,100,50,3.8580819375732673
0.001,64,100,50,3.838415736414511
0.0005,64,100,50,3.768048334322818
0.002,128,100,50,3.6417148170832023
0.002,256,100,50,3.4517560307819934
0.0005,256,50,20,1.62981760578328
0.0005,128,50,20,1.6165486581964779
0.002,64,50,20,1.6026716078838334
0.001,256,50,20,1.5970823694006175
0.001,128,50,20,1.4860667277046986
0.0005,64,50,20,1.4428123722089259
0.001,64,50,20,1.4314515414212243
0.002,128,50,20,1.307905199647213
0.002,256,50,20,1.2873610487504112
