exp_name,family,method,lr,batch_size,seed,num_episodes,horizon,run_dir,avg_cumulative_reward
drr_lr0.001_bs64_s11,rl,drr,0.001,64,11,50,20,runs/drr_lr0.001_bs64_s11_20260309_185624,1.329426451527776
drr_lr0.001_bs64_s11,rl,drr,0.001,64,11,100,50,runs/drr_lr0.001_bs64_s11_20260309_185624,4.069965598264858
drr_lr0.001_bs64_s11,rl,drr,0.001,64,11,200,100,runs/drr_lr0.001_bs64_s11_20260309_185624,8.308915322048598
drr_lr0.001_bs64_s22,rl,drr,0.001,64,22,50,20,runs/drr_lr0.001_bs64_s22_20260309_185629,2.053173520438822
drr_lr0.001_bs64_s22,rl,drr,0.001,64,22,100,50,runs/drr_lr0.001_bs64_s22_20260309_185629,4.473592573770864
drr_lr0.001_bs64_s22,rl,drr,0.001,64,22,200,100,runs/drr_lr0.001_bs64_s22_20260309_185629,9.321261005248612
drr_lr0.001_bs64_s33,rl,drr,0.001,64,33,50,20,runs/drr_lr0.001_bs64_s33_20260309_185633,1.1778139938645193
drr_lr0.001_bs64_s33,rl,drr,0.001,64,33,100,50,runs/drr_lr0.001_bs64_s33_20260309_185633,3.7579197745061377
drr_lr0.001_bs64_s33,rl,drr,0.001,64,33,200,100,runs/drr_lr0.001_bs64_s33_20260309_185633,7.361337461653252
drr_lr0.001_bs64_s44,rl,drr,0.001,64,44,50,20,runs/drr_lr0.001_bs64_s44_20260309_185638,2.033108535684149
drr_lr0.001_bs64_s44,rl,drr,0.001,64,44,100,50,runs/drr_lr0.001_bs64_s44_20260309_185638,4.861567845345268
drr_lr0.001_bs64_s44,rl,drr,0.001,64,44,200,100,runs/drr_lr0.001_bs64_s44_20260309_185638,10.560919189602673
drr_lr0.001_bs64_s55,rl,drr,0.001,64,55,50,20,runs/drr_lr0.001_bs64_s55_20260309_185643,0.5637352055908561
drr_lr0.001_bs64_s55,rl,drr,0.001,64,55,100,50,runs/drr_lr0.001_bs64_s55_20260309_185643,2.0290328901854258
drr_lr0.001_bs64_s55,rl,drr,0.001,64,55,200,100,runs/drr_lr0.001_bs64_s55_20260309_185643,3.4396823608397358
drr_lr0.001_bs128_s11,rl,drr,0.001,128,11,50,20,runs/drr_lr0.001_bs128_s11_20260309_185648,1.0441132807118159
drr_lr0.001_bs128_s11,rl,drr,0.001,128,11,100,50,runs/drr_lr0.001_bs128_s11_20260309_185648,3.356682671224958
drr_lr0.001_bs128_s11,rl,drr,0.001,128,11,200,100,runs/drr_lr0.001_bs128_s11_20260309_185648,6.525708004448852
drr_lr0.001_bs128_s22,rl,drr,0.001,128,22,50,20,runs/drr_lr0.001_bs128_s22_20260309_185653,1.7961471063586436
drr_lr0.001_bs128_s22,rl,drr,0.001,128,22,100,50,runs/drr_lr0.001_bs128_s22_20260309_185653,3.99166804737053
drr_lr0.001_bs128_s22,rl,drr,0.001,128,22,200,100,runs/drr_lr0.001_bs128_s22_20260309_185653,8.518053461248055
drr_lr0.001_bs128_s33,rl,drr,0.001,128,33,50,20,runs/drr_lr0.001_bs128_s33_20260309_185658,1.3830593606985415
drr_lr0.001_bs128_s33,rl,drr,0.001,128,33,100,50,runs/drr_lr0.001_bs128_s33_20260309_185658,3.898700513655155
drr_lr0.001_bs128_s33,rl,drr,0.001,128,33,200,100,runs/drr_lr0.001_bs128_s33_20260309_185658,6.78245761468569
drr_lr0.001_bs128_s44,rl,drr,0.001,128,44,50,20,runs/drr_lr0.001_bs128_s44_20260309_185703,2.0470104393816904
drr_lr0.001_bs128_s44,rl,drr,0.001,128,44,100,50,runs/drr_lr0.001_bs128_s44_20260309_185703,4.8963226045891215
drr_lr0.001_bs128_s44,rl,drr,0.001,128,44,200,100,runs/drr_lr0.001_bs128_s44_20260309_185703,10.647806087712308
drr_lr0.001_bs128_s55,rl,drr,0.001,128,55,50,20,runs/drr_lr0.001_bs128_s55_20260309_185707,1.1600034513728013
drr_lr0.001_bs128_s55,rl,drr,0.001,128,55,100,50,runs/drr_lr0.001_bs128_s55_20260309_185707,3.147035851026572
drr_lr0.001_bs128_s55,rl,drr,0.001,128,55,200,100,runs/drr_lr0.001_bs128_s55_20260309_185707,5.303020628908311
drr_lr0.001_bs256_s11,rl,drr,0.001,256,11,50,20,runs/drr_lr0.001_bs256_s11_20260309_185712,1.1111548896241847
drr_lr0.001_bs256_s11,rl,drr,0.001,256,11,100,50,runs/drr_lr0.001_bs256_s11_20260309_185712,3.52428669350588
drr_lr0.001_bs256_s11,rl,drr,0.001,256,11,200,100,runs/drr_lr0.001_bs256_s11_20260309_185712,6.944718060151157
drr_lr0.001_bs256_s22,rl,drr,0.001,256,22,50,20,runs/drr_lr0.001_bs256_s22_20260309_185717,1.7821065533155542
drr_lr0.001_bs256_s22,rl,drr,0.001,256,22,100,50,runs/drr_lr0.001_bs256_s22_20260309_185717,4.208340927091942
drr_lr0.001_bs256_s22,rl,drr,0.001,256,22,200,100,runs/drr_lr0.001_bs256_s22_20260309_185717,9.744317909036825
drr_lr0.001_bs256_s33,rl,drr,0.001,256,33,50,20,runs/drr_lr0.001_bs256_s33_20260309_185722,1.0671555646040287
drr_lr0.001_bs256_s33,rl,drr,0.001,256,33,100,50,runs/drr_lr0.001_bs256_s33_20260309_185722,2.714061278300731
drr_lr0.001_bs256_s33,rl,drr,0.001,256,33,200,100,runs/drr_lr0.001_bs256_s33_20260309_185722,4.8080588890949825
drr_lr0.001_bs256_s44,rl,drr,0.001,256,44,50,20,runs/drr_lr0.001_bs256_s44_20260309_185727,2.102901019632516
drr_lr0.001_bs256_s44,rl,drr,0.001,256,44,100,50,runs/drr_lr0.001_bs256_s44_20260309_185727,5.036049055216186
drr_lr0.001_bs256_s44,rl,drr,0.001,256,44,200,100,runs/drr_lr0.001_bs256_s44_20260309_185727,10.997122214279965
drr_lr0.001_bs256_s55,rl,drr,0.001,256,55,50,20,runs/drr_lr0.001_bs256_s55_20260309_185732,1.9220938198268038
drr_lr0.001_bs256_s55,rl,drr,0.001,256,55,100,50,runs/drr_lr0.001_bs256_s55_20260309_185732,4.250650906112438
drr_lr0.001_bs256_s55,rl,drr,0.001,256,55,200,100,runs/drr_lr0.001_bs256_s55_20260309_185732,7.4294222097454465
drr_lr0.0005_bs64_s11,rl,drr,0.0005,64,11,50,20,runs/drr_lr0.0005_bs64_s11_20260309_185736,1.0441132807118159
drr_lr0.0005_bs64_s11,rl,drr,0.0005,64,11,100,50,runs/drr_lr0.0005_bs64_s11_20260309_185736,3.356682671224958
drr_lr0.0005_bs64_s11,rl,drr,0.0005,64,11,200,100,runs/drr_lr0.0005_bs64_s11_20260309_185736,6.525708004448852
drr_lr0.0005_bs64_s22,rl,drr,0.0005,64,22,50,20,runs/drr_lr0.0005_bs64_s22_20260309_185741,2.053173520438822
drr_lr0.0005_bs64_s22,rl,drr,0.0005,64,22,100,50,runs/drr_lr0.0005_bs64_s22_20260309_185741,4.473592573770864
drr_lr0.0005_bs64_s22,rl,drr,0.0005,64,22,200,100,runs/drr_lr0.0005_bs64_s22_20260309_185741,9.321261005248612
drr_lr0.0005_bs64_s33,rl,drr,0.0005,64,33,50,20,runs/drr_lr0.0005_bs64_s33_20260309_185746,1.5774829084884499
drr_lr0.0005_bs64_s33,rl,drr,0.0005,64,33,100,50,runs/drr_lr0.0005_bs64_s33_20260309_185746,4.263244665761234
drr_lr0.0005_bs64_s33,rl,drr,0.0005,64,33,200,100,runs/drr_lr0.0005_bs64_s33_20260309_185746,7.390031201529152
drr_lr0.0005_bs64_s44,rl,drr,0.0005,64,44,50,20,runs/drr_lr0.0005_bs64_s44_20260309_185751,1.975556945814685
drr_lr0.0005_bs64_s44,rl,drr,0.0005,64,44,100,50,runs/drr_lr0.0005_bs64_s44_20260309_185751,4.717688870671609
drr_lr0.0005_bs64_s44,rl,drr,0.0005,64,44,200,100,runs/drr_lr0.0005_bs64_s44_20260309_185751,10.201221752918526
drr_lr0.0005_bs64_s55,rl,drr,0.0005,64,55,50,20,runs/drr_lr0.0005_bs64_s55_20260309_185756,0.5637352055908561
drr_lr0.0005_bs64_s55,rl,drr,0.0005,64,55,100,50,runs/drr_lr0.0005_bs64_s55_20260309_185756,2.0290328901854258
drr_lr0.0005_bs64_s55,rl,drr,0.0005,64,55,200,100,runs/drr_lr0.0005_bs64_s55_20260309_185756,3.4396823608397358
drr_lr0.0005_bs128_s11,rl,drr,0.0005,128,11,50,20,runs/drr_lr0.0005_bs128_s11_20260309_185801,1.0441132807118159
drr_lr0.0005_bs128_s11,rl,drr,0.0005,128,11,100,50,runs/drr_lr0.0005_bs128_s11_20260309_185801,3.356682671224958
drr_lr0.0005_bs128_s11,rl,drr,0.0005,128,11,200,100,runs/drr_lr0.0005_bs128_s11_20260309_185801,6.525708004448852
drr_lr0.0005_bs128_s22,rl,drr,0.0005,128,22,50,20,runs/drr_lr0.0005_bs128_s22_20260309_185806,1.7103683353138615
drr_lr0.0005_bs128_s22,rl,drr,0.0005,128,22,100,50,runs/drr_lr0.0005_bs128_s22_20260309_185806,3.916104940751891
drr_lr0.0005_bs128_s22,rl,drr,0.0005,128,22,200,100,runs/drr_lr0.0005_bs128_s22_20260309_185806,8.731501839847148
drr_lr0.0005_bs128_s33,rl,drr,0.0005,128,33,50,20,runs/drr_lr0.0005_bs128_s33_20260309_185811,1.30326683549739
