exp_name,family,method,lr,batch_size,seed,num_episodes,horizon,run_dir,avg_cumulative_reward
drr_lr0.002_bs128_s44,rl,drr,0.002,128,44,200,100,runs/drr_lr0.002_bs128_s44_20260309_185929,12.80261592576366
drr_lr0.002_bs256_s44,rl,drr,0.002,256,44,200,100,runs/drr_lr0.002_bs256_s44_20260309_185953,11.996334154285732
drr_lr0.002_bs64_s22,rl,drr,0.002,64,22,200,100,runs/drr_lr0.002_bs64_s22_20260309_185854,11.498954991098929
drr_lr0.002_bs64_s11,rl,drr,0.002,64,11,200,100,runs/drr_lr0.002_bs64_s11_20260309_185850,11.253471683374933
drr_lr0.001_bs256_s44,rl,drr,0.001,256,44,200,100,runs/drr_lr0.001_bs256_s44_20260309_185727,10.997122214279964
drr_lr0.0005_bs128_s44,rl,drr,0.0005,128,44,200,100,runs/drr_lr0.0005_bs128_s44_20260309_185815,10.997122214279964
drr_lr0.0005_bs256_s44,rl,drr,0.0005,256,44,200,100,runs/drr_lr0.0005_bs256_s44_20260309_185840,10.895639747329993
drr_lr0.001_bs128_s44,rl,drr,0.001,128,44,200,100,runs/drr_lr0.001_bs128_s44_20260309_185703,10.647806087712308
drr_lr0.001_bs64_s44,rl,drr,0.001,64,44,200,100,runs/drr_lr0.001_bs64_s44_20260309_185638,10.560919189602672
drr_lr0.0005_bs64_s44,rl,drr,0.0005,64,44,200,100,runs/drr_lr0.0005_bs64_s44_20260309_185751,10.201221752918526
drr_lr0.002_bs64_s44,rl,drr,0.002,64,44,200,100,runs/drr_lr0.002_bs64_s44_20260309_185904,9.931481988575053
drr_lr0.002_bs64_s33,rl,drr,0.002,64,33,200,100,runs/drr_lr0.002_bs64_s33_20260309_185859,9.85337310862166
drr_lr0.001_bs256_s22,rl,drr,0.001,256,22,200,100,runs/drr_lr0.001_bs256_s22_20260309_185717,9.744317909036823
drr_lr0.0005_bs64_s22,rl,drr,0.0005,64,22,200,100,runs/drr_lr0.0005_bs64_s22_20260309_185741,9.321261005248612
drr_lr0.001_bs64_s22,rl,drr,0.001,64,22,200,100,runs/drr_lr0.001_bs64_s22_20260309_185629,9.321261005248612
drr_lr0.0005_bs256_s11,rl,drr,0.0005,256,11,200,100,runs/drr_lr0.0005_bs256_s11_20260309_185825,9.010707717429902
drr_lr0.0005_bs256_s22,rl,drr,0.0005,256,22,200,100,runs/drr_lr0.0005_bs256_s22_20260309_185830,8.97627442505567
drr_lr0.0005_bs128_s22,rl,drr,0.0005,128,22,200,100,runs/drr_lr0.0005_bs128_s22_20260309_185806,8.731501839847148
drr_lr0.001_bs128_s22,rl,drr,0.001,128,22,200,100,runs/drr_lr0.001_bs128_s22_20260309_185653,8.518053461248055
drr_lr0.001_bs64_s11,rl,drr,0.001,64,11,200,100,runs/drr_lr0.001_bs64_s11_20260309_185624,8.308915322048598
drr_lr0.002_bs128_s22,rl,drr,0.002,128,22,200,100,runs/drr_lr0.002_bs128_s22_20260309_185919,8.25362667172505
drr_lr0.002_bs256_s22,rl,drr,0.002,256,22,200,100,runs/drr_lr0.002_bs256_s22_20260309_185943,7.745100580163837
drr_lr0.0005_bs256_s55,rl,drr,0.0005,256,55,200,100,runs/drr_lr0.0005_bs256_s55_20260309_185845,7.691271551677655
drr_lr0.0005_bs128_s55,rl,drr,0.0005,128,55,200,100,runs/drr_lr0.0005_bs128_s55_20260309_185820,7.4294222097454465
drr_lr0.001_bs256_s55,rl,drr,0.001,256,55,200,100,runs/drr_lr0.001_bs256_s55_20260309_185732,7.4294222097454465
drr_lr0.0005_bs64_s33,rl,drr,0.0005,64,33,200,100,runs/drr_lr0.0005_bs64_s33_20260309_185746,7.390031201529152
drr_lr0.001_bs64_s33,rl,drr,0.001,64,33,200,100,runs/drr_lr0.001_bs64_s33_20260309_185633,7.361337461653252
drr_lr0.001_bs256_s11,rl,drr,0.001,256,11,200,100,runs/drr_lr0.001_bs256_s11_20260309_185712,6.944718060151157
drr_lr0.001_bs128_s33,rl,drr,0.001,128,33,200,100,runs/drr_lr0.001_bs128_s33_20260309_185658,6.78245761468569
drr_lr0.002_bs128_s33,rl,drr,0.002,128,33,200,100,runs/drr_lr0.002_bs128_s33_20260309_185924,6.595341037369408
drr_lr0.001_bs128_s11,rl,drr,0.001,128,11,200,100,runs/drr_lr0.001_bs128_s11_20260309_185648,6.525708004448852
drr_lr0.0005_bs128_s11,rl,drr,0.0005,128,11,200,100,runs/drr_lr0.0005_bs128_s11_20260309_185801,6.525708004448852
drr_lr0.0005_bs64_s11,rl,drr,0.0005,64,11,200,100,runs/drr_lr0.0005_bs64_s11_20260309_185736,6.525708004448852
drr_lr0.002_bs128_s11,rl,drr,0.002,128,11,200,100,runs/drr_lr0.002_bs128_s11_20260309_185914,6.525708004448852
drr_lr0.002_bs256_s11,rl,drr,0.002,256,11,200,100,runs/drr_lr0.002_bs256_s11_20260309_185938,6.408523531220394
drr_lr0.0005_bs128_s33,rl,drr,0.0005,128,33,200,100,runs/drr_lr0.0005_bs128_s33_20260309_185811,6.283754332178489
drr_lr0.002_bs256_s33,rl,drr,0.002,256,33,200,100,runs/drr_lr0.002_bs256_s33_20260309_185948,6.016461190401845
drr_lr0.002_bs128_s44,rl,drr,0.002,128,44,100,50,runs/drr_lr0.002_bs128_s44_20260309_185929,5.758246539809663
drr_lr0.002_bs64_s11,rl,drr,0.002,64,11,100,50,runs/drr_lr0.002_bs64_s11_20260309_185850,5.711965090853671
drr_lr0.002_bs256_s44,rl,drr,0.002,256,44,100,50,runs/drr_lr0.002_bs256_s44_20260309_185953,5.435733831218492
drr_lr0.001_bs128_s55,rl,drr,0.001,128,55,200,100,runs/drr_lr0.001_bs128_s55_20260309_185707,5.303020628908311
drr_lr0.0005_bs256_s33,rl,drr,0.0005,256,33,200,100,runs/drr_lr0.0005_bs256_s33_20260309_185835,5.293956841187369
drr_lr0.002_bs64_s22,rl,drr,0.002,64,22,100,50,runs/drr_lr0.002_bs64_s22_20260309_185854,5.078493227094135
drr_lr0.0005_bs128_s44,rl,drr,0.0005,128,44,100,50,runs/drr_lr0.0005_bs128_s44_20260309_185815,5.036049055216186
drr_lr0.001_bs256_s44,rl,drr,0.001,256,44,100,50,runs/drr_lr0.001_bs256_s44_20260309_185727,5.036049055216186
drr_lr0.0005_bs256_s44,rl,drr,0.0005,256,44,100,50,runs/drr_lr0.0005_bs256_s44_20260309_185840,4.932187446093611
drr_lr0.002_bs64_s33,rl,drr,0.002,64,33,100,50,runs/drr_lr0.002_bs64_s33_20260309_185859,4.899768960211786
drr_lr0.001_bs128_s44,rl,drr,0.001,128,44,100,50,runs/drr_lr0.001_bs128_s44_20260309_185703,4.8963226045891215
drr_lr0.001_bs64_s44,rl,drr,0.001,64,44,100,50,runs/drr_lr0.001_bs64_s44_20260309_185638,4.861567845345268
drr_lr0.001_bs256_s33,rl,drr,0.001,256,33,200,100,runs/drr_lr0.001_bs256_s33_20260309_185722,4.808058889094983
