family,n,mismatch_scale,clip,ips,snips,dr,ips_low,ips_high,snips_low,snips_high,dr_low,dr_high
ope,2500,2.0,0.1,0.9971888456107576,0.496006934930331,0.509289074718521,0.9676655288456774,1.025651243228359,0.4833300141295114,0.5090863013414209,0.4971777025120905,0.5201991689810946
ope,2500,2.0,0.05,1.0683915952519398,0.4976513111584485,0.509109704140698,1.0377196273093765,1.1036876231798305,0.4855813080142918,0.5095108081170421,0.4975737251461642,0.5216422650869577
ope,2500,2.0,0.01,1.1164937191502005,0.5011025773774549,0.5090969753168966,1.0848261918554287,1.1485036261069483,0.4875002679322169,0.5116203830884994,0.4965345632093147,0.5207374630737129
ope,2500,2.0,0.0001,1.11787049294504,0.5012933182554123,0.5090609372836876,1.0863186573404084,1.1528773962383758,0.4895080293325411,0.5133206209452631,0.4977554428208853,0.5204461697975945
ope,2500,2.0,0.001,1.11787049294504,0.5012933182554123,0.5090609372836876,1.0856351995902034,1.1585122215713282,0.4897677651929443,0.5135014451723182,0.4976458727891575,0.5211727134654863
ope,2500,2.0,1e-06,1.11787049294504,0.5012933182554123,0.5090609372836876,1.0865145785928307,1.1595855819458618,0.4894854616332712,0.5148321272276075,0.4982756006982506,0.5210525430666403
ope,1000,0.5,0.01,0.1407125411092135,0.4994508538120359,0.5075351085038715,0.1333898290757289,0.1496798841556757,0.4789298654873998,0.5202417120931033,0.48815713691025,0.5263798746295225
ope,1000,0.5,0.001,0.1407438394485534,0.4994686207974912,0.507534914076944,0.1323516833273649,0.1471995029738093,0.4766174889313955,0.5194063407763209,0.4885591721192557,0.5243731385701493
ope,1000,0.5,0.0001,0.1407438394485534,0.4994686207974912,0.507534914076944,0.1322231704842101,0.1470467611765558,0.4816218770084094,0.5199680604977965,0.491953007262984,0.5251344078175019
ope,1000,0.5,1e-06,0.1407438394485534,0.4994686207974912,0.507534914076944,0.1334914973327502,0.1481553108213598,0.4784345960251459,0.5203856254631554,0.4906389004797305,0.5226291332595988
ope,1000,0.5,0.05,0.1406087829658301,0.4994328434983411,0.5075317569447366,0.1334745100888638,0.1479772037589503,0.4826266959563598,0.5184929991249431,0.4887070800007253,0.5273425464934093
ope,1000,0.5,0.1,0.1397715241580772,0.4995652290757371,0.5075312043582564,0.1313575899156806,0.1471066146620765,0.4761153779314369,0.5170408667025337,0.4894470950497497,0.5252169102335529
ope,2500,0.5,0.05,0.1423289557305373,0.4993424730871628,0.50465623628404,0.1377106255990409,0.1469042314627532,0.4877892067412587,0.511110220898675,0.4935778461834635,0.5187703582016712
ope,2500,0.5,0.01,0.1424892100864306,0.4993409433178861,0.5046558280410786,0.1374570755037609,0.1468814242290774,0.4867434181914345,0.5129754059187431,0.4944188349652006,0.5165585658873257
ope,2500,0.5,0.001,0.1424899171252321,0.4993311785341784,0.5046555979059509,0.1377043108722414,0.1479921778140016,0.4873039041258445,0.5139256594453777,0.4940006945370287,0.517098028526277
ope,2500,0.5,1e-06,0.1424899171252321,0.4993311785341784,0.5046555979059509,0.138113661805244,0.1474182970151832,0.485956814428457,0.5120778137648688,0.4920130922709093,0.5155576201527434
ope,2500,0.5,0.0001,0.1424899171252321,0.4993311785341784,0.5046555979059509,0.137269590956516,0.1469051233365587,0.4866969636138467,0.5119759698998038,0.4936323377628138,0.5159821049944394
ope,2500,0.5,0.1,0.1415169932032569,0.4994463569568861,0.5046505751691037,0.1368294753786889,0.1460810516457223,0.4877241653513041,0.51023220776037,0.4943394679406393,0.5182680903444018
ope,500,1.0,0.001,0.4926475248254877,0.4926475248254877,0.5017255960116608,0.4693832700061099,0.5174015158848774,0.4693832700061099,0.5174015158848774,0.4757845768458065,0.524407134660798
ope,500,1.0,0.0001,0.4926475248254877,0.4926475248254877,0.5017255960116608,0.4684322613434847,0.5156307334936757,0.4684322613434847,0.5156307334936757,0.4752908741355361,0.5269381575503301
ope,500,1.0,1e-06,0.4926475248254877,0.4926475248254877,0.5017255960116608,0.4708711704269642,0.5190351461649827,0.4708711704269642,0.5190351461649827,0.4752570582991593,0.5274385504636947
ope,500,1.0,0.01,0.4925563492810339,0.4926017460082146,0.5017247121171858,0.4682829958098203,0.5143873708755462,0.4683693228865844,0.5144371610004934,0.4770405864005799,0.5245180935323347
ope,500,1.0,0.05,0.4864848475017741,0.4919781639326401,0.5015906076615908,0.4596365326837352,0.5106757662165682,0.4664464507226283,0.5162344424009615,0.4760304424063799,0.5237017283458041
ope,500,1.0,0.1,0.4722149294763721,0.4903644135266622,0.5013404233559854,0.4515548071631181,0.4994128467289819,0.4664723993008035,0.5155196396662264,0.4761506776499496,0.5256868373645618
