model,dim,lr,epochs,test_precision@10,test_recall@10,test_ndcg@10
mf,16,0.0005,2,0.014,0.14,0.0735293884579125
mf,16,0.0005,4,0.013333333333333334,0.13333333333333333,0.0715225218201526
mf,16,0.001,2,0.013333333333333334,0.13333333333333333,0.0715225218201526
mf,16,0.001,4,0.013333333333333334,0.13333333333333333,0.0715225218201526
ncf,16,0.001,2,0.014666666666666666,0.14666666666666667,0.061330934175673264
ncf,16,0.0005,4,0.014,0.14,0.059403835333554034
ncf,64,0.001,4,0.011333333333333334,0.11333333333333334,0.055499643780317465
ncf,16,0.0005,2,0.012000000000000002,0.12,0.054010929686933606
mf,64,0.0005,2,0.012666666666666668,0.12666666666666668,0.05185606356952113
mf,64,0.001,2,0.012666666666666668,0.12666666666666668,0.05185606356952113
mf,64,0.0005,4,0.012666666666666668,0.12666666666666668,0.051640707985058765
mf,64,0.001,4,0.012666666666666668,0.12666666666666668,0.051640707985058765
ncf,16,0.001,4,0.010666666666666666,0.10666666666666669,0.047358820023881136
ncf,64,0.0005,4,0.011333333333333334,0.11333333333333334,0.0471905970110807
ncf,64,0.001,2,0.01,0.09999999999999999,0.0428847053966353
ncf,64,0.0005,2,0.008,0.08,0.04157282783080203
