model,dim,lr,epochs,test_precision@10,test_recall@10,test_ndcg@10
mf,16,0.0005,2,0.003464101615137755,0.034641016151377546,0.02219619061918924
mf,16,0.0005,4,0.0030550504633038936,0.030550504633038936,0.021934319024415932
mf,16,0.001,2,0.0030550504633038936,0.030550504633038936,0.021934319024415932
mf,16,0.001,4,0.0030550504633038936,0.030550504633038936,0.021934319024415932
mf,64,0.0005,2,0.003055050463303893,0.030550504633038936,0.016211430187637172
mf,64,0.0005,4,0.003055050463303893,0.030550504633038936,0.016425996941287064
mf,64,0.001,2,0.003055050463303893,0.030550504633038936,0.016211430187637172
mf,64,0.001,4,0.003055050463303893,0.030550504633038936,0.016425996941287064
ncf,16,0.0005,2,0.0020000000000000005,0.02,0.02145700022264489
ncf,16,0.0005,4,0.0019999999999999996,0.02,0.017668706695850685
ncf,16,0.001,2,0.003055050463303892,0.03055050463303893,0.019802282866102652
ncf,16,0.001,4,0.005773502691896257,0.05773502691896259,0.028277548815302825
ncf,64,0.0005,2,0.0052915026221291815,0.05291502622129182,0.03032769668443147
ncf,64,0.0005,4,0.007571877794400365,0.07571877794400365,0.03421224233573271
ncf,64,0.001,2,0.0052915026221291815,0.05291502622129181,0.026782547017913837
ncf,64,0.001,4,0.003055050463303893,0.030550504633038936,0.02151482077993973
