exp_name,family,model,dim,lr,epochs,seed,run_dir,val_precision@5,val_recall@5,val_ndcg@5,val_precision@10,val_recall@10,val_ndcg@10,val_precision@20,val_recall@20,val_ndcg@20,test_precision@5,test_recall@5,test_ndcg@5,test_precision@10,test_recall@10,test_ndcg@10,test_precision@20,test_recall@20,test_ndcg@20
mf_d16_lr0.001_ep2_s11,ranking,mf,16,0.001,2,11,runs/mf_d16_lr0.001_ep2_s11_20260309_185347,0.012,0.06,0.047737056144690836,0.008,0.08,0.054403722811357504,0.009,0.18,0.0789675367854797,0.016,0.08,0.06773705614469083,0.016,0.16,0.09350039487156005,0.012,0.24,0.11410617038001547
mf_d16_lr0.001_ep2_s22,ranking,mf,16,0.001,2,22,runs/mf_d16_lr0.001_ep2_s22_20260309_185351,0.012,0.06,0.025474112289381665,0.01,0.1,0.038907553567256684,0.007000000000000001,0.14,0.04895679359936318,0.016,0.08,0.04385072130432617,0.01,0.1,0.04963201783068392,0.01,0.2,0.07460882428868841
mf_d16_lr0.001_ep2_s33,ranking,mf,16,0.001,2,33,runs/mf_d16_lr0.001_ep2_s33_20260309_185354,0.012,0.06,0.04035565121611999,0.012,0.12,0.059570389020352756,0.013000000000000001,0.26,0.093726723559365,0.02,0.1,0.05845918855583273,0.014000000000000002,0.14,0.07143515275821398,0.013000000000000001,0.26,0.10233337620333352
mf_d16_lr0.001_ep4_s11,ranking,mf,16,0.001,4,11,runs/mf_d16_lr0.001_ep4_s11_20260309_185357,0.012,0.06,0.047737056144690836,0.008,0.08,0.054403722811357504,0.009,0.18,0.0789675367854797,0.016,0.08,0.06773705614469083,0.016,0.16,0.09350039487156005,0.012,0.24,0.1140180993159856
mf_d16_lr0.001_ep4_s22,ranking,mf,16,0.001,4,22,runs/mf_d16_lr0.001_ep4_s22_20260309_185400,0.012,0.06,0.024087643450849527,0.01,0.1,0.03752108472872455,0.007000000000000001,0.14,0.04757032476083104,0.016,0.08,0.04385072130432617,0.01,0.1,0.04963201783068392,0.01,0.2,0.0748349739425202
mf_d16_lr0.001_ep4_s33,ranking,mf,16,0.001,4,33,runs/mf_d16_lr0.001_ep4_s33_20260309_185403,0.012,0.06,0.04035565121611999,0.012,0.12,0.059570389020352756,0.013000000000000001,0.26,0.09391155613439675,0.02,0.1,0.05845918855583273,0.014000000000000002,0.14,0.07143515275821398,0.013000000000000001,0.26,0.10233337620333352
mf_d16_lr0.0005_ep2_s11,ranking,mf,16,0.0005,2,11,runs/mf_d16_lr0.0005_ep2_s11_20260309_185406,0.012,0.06,0.047737056144690836,0.008,0.08,0.054403722811357504,0.009,0.18,0.0789675367854797,0.016,0.08,0.06773705614469083,0.016,0.16,0.09350039487156005,0.012,0.24,0.11410617038001547
mf_d16_lr0.0005_ep2_s22,ranking,mf,16,0.0005,2,22,runs/mf_d16_lr0.0005_ep2_s22_20260309_185409,0.012,0.06,0.025474112289381665,0.01,0.1,0.038907553567256684,0.007000000000000001,0.14,0.04895679359936318,0.016,0.08,0.04385072130432617,0.01,0.1,0.04963201783068392,0.01,0.2,0.07460882428868841
mf_d16_lr0.0005_ep2_s33,ranking,mf,16,0.0005,2,33,runs/mf_d16_lr0.0005_ep2_s33_20260309_185412,0.012,0.06,0.04035565121611999,0.012,0.12,0.059570389020352756,0.013000000000000001,0.26,0.093726723559365,0.02,0.1,0.05845918855583273,0.016,0.16,0.0774557526714936,0.013000000000000001,0.26,0.10285573120772813
mf_d16_lr0.0005_ep4_s11,ranking,mf,16,0.0005,4,11,runs/mf_d16_lr0.0005_ep4_s11_20260309_185416,0.012,0.06,0.047737056144690836,0.008,0.08,0.054403722811357504,0.009,0.18,0.0789675367854797,0.016,0.08,0.06773705614469083,0.016,0.16,0.09350039487156005,0.012,0.24,0.11410617038001547
