model,dim,lr,epochs,test_precision@5_mean,test_precision@5_std,test_recall@5_mean,test_recall@5_std,test_ndcg@5_mean,test_ndcg@5_std,test_precision@10_mean,test_precision@10_std,test_recall@10_mean,test_recall@10_std,test_ndcg@10_mean,test_ndcg@10_std,test_precision@20_mean,test_precision@20_std,test_recall@20_mean,test_recall@20_std,test_ndcg@20_mean,test_ndcg@20_std
mf,16,0.0005,2,0.017333333333333336,0.0023094010767585036,0.08666666666666667,0.011547005383792518,0.056682322001616575,0.012041893085811868,0.014,0.003464101615137755,0.14,0.034641016151377546,0.07352938845791253,0.022196190619189243,0.011666666666666667,0.001527525231651947,0.2333333333333333,0.03055050463303893,0.09719024195881067,0.020349039618289527
mf,16,0.0005,4,0.017333333333333336,0.0023094010767585036,0.08666666666666667,0.011547005383792518,0.056682322001616575,0.012041893085811868,0.013333333333333334,0.003055050463303894,0.13333333333333333,0.030550504633038936,0.07152252182015265,0.021934319024415942,0.011666666666666667,0.001527525231651947,0.2333333333333333,0.03055050463303893,0.09701612362401246,0.02027843604198163
mf,16,0.001,2,0.017333333333333336,0.0023094010767585036,0.08666666666666667,0.011547005383792518,0.056682322001616575,0.012041893085811868,0.013333333333333334,0.003055050463303894,0.13333333333333333,0.030550504633038936,0.07152252182015265,0.021934319024415942,0.011666666666666667,0.001527525231651947,0.2333333333333333,0.03055050463303893,0.09701612362401246,0.02027843604198163
mf,16,0.001,4,0.017333333333333336,0.0023094010767585036,0.08666666666666667,0.011547005383792518,0.056682322001616575,0.012041893085811868,0.013333333333333334,0.003055050463303894,0.13333333333333333,0.030550504633038936,0.07152252182015265,0.021934319024415942,0.011666666666666667,0.001527525231651947,0.2333333333333333,0.03055050463303893,0.0970621498206131,0.02011637887870461
mf,64,0.0005,2,0.010666666666666666,0.00832666399786453,0.05333333333333334,0.04163331998932266,0.027606634560638003,0.02151421798724209,0.012666666666666668,0.003055050463303893,0.12666666666666668,0.030550504633038936,0.05185606356952116,0.016211430187637165,0.013000000000000003,0.0010000000000000009,0.26,0.020000000000000018,0.08485032804371863,0.013443683646087754
mf,64,0.0005,4,0.010666666666666666,0.00832666399786453,0.05333333333333334,0.04163331998932266,0.027606634560638003,0.02151421798724209,0.012666666666666668,0.003055050463303893,0.12666666666666668,0.030550504633038936,0.05164070798505881,0.016425996941287033,0.013000000000000003,0.0010000000000000009,0.26,0.020000000000000018,0.0845670555697105,0.013553275824590155
mf,64,0.001,2,0.010666666666666666,0.00832666399786453,0.05333333333333334,0.04163331998932266,0.027606634560638003,0.02151421798724209,0.012666666666666668,0.003055050463303893,0.12666666666666668,0.030550504633038936,0.05185606356952116,0.016211430187637165,0.013000000000000003,0.0010000000000000009,0.26,0.020000000000000018,0.08478241115417284,0.013326853957837441
mf,64,0.001,4,0.010666666666666666,0.00832666399786453,0.05333333333333334,0.04163331998932266,0.027606634560638003,0.02151421798724209,0.012666666666666668,0.003055050463303893,0.12666666666666668,0.030550504633038936,0.05164070798505881,0.016425996941287033,0.013000000000000003,0.0010000000000000009,0.26,0.020000000000000018,0.0845670555697105,0.013553275824590155
ncf,16,0.0005,2,0.013333333333333334,0.006110100926607787,0.06666666666666667,0.030550504633038936,0.03673376953682829,0.024985981051976264,0.012000000000000002,0.0020000000000000013,0.12,0.02,0.05401092968693363,0.021457000222644875,0.011999999999999999,0.002645751311064591,0.24,0.052915026221291794,0.08415258573727939,0.02925651846478476
ncf,16,0.0005,4,0.014666666666666666,0.009237604307034013,0.07333333333333335,0.046188021535170064,0.038902079507426225,0.026269480682430683,0.014,0.002,0.14,0.02,0.05940383533355406,0.017668706695850706,0.010666666666666666,0.002081665999466134,0.21333333333333335,0.04163331998932266,0.07805942875139273,0.021717387873382368
ncf,16,0.001,2,0.014666666666666666,0.009237604307034013,0.07333333333333335,0.046188021535170064,0.038902079507426225,0.026269480682430683,0.014666666666666666,0.0030550504633038928,0.14666666666666667,0.03055050463303893,0.06133093417567331,0.01980228286610269,0.010333333333333333,0.002309401076758504,0.20666666666666667,0.04618802153517007,0.076826779031951,0.021710781518437364
ncf,16,0.001,4,0.009333333333333334,0.0046188021535170055,0.04666666666666667,0.023094010767585032,0.02789879289956368,0.01710445190323354,0.010666666666666666,0.005773502691896259,0.10666666666666669,0.05773502691896259,0.04735882002388117,0.02827754881530282,0.011333333333333334,0.0020816659994661343,0.22666666666666666,0.04163331998932267,0.07676615995431778,0.024247513646965944
ncf,64,0.0005,2,0.009333333333333334,0.006110100926607787,0.04666666666666667,0.030550504633038936,0.03006710287016162,0.02067788510991734,0.008,0.005291502622129182,0.08,0.05291502622129182,0.04157282783080209,0.03032769668443142,0.010666666666666666,0.004163331998932266,0.21333333333333335,0.08326663997864532,0.07447915904221743,0.036245412464501
ncf,64,0.0005,4,0.012000000000000002,0.0069282032302755096,0.06,0.03464101615137755,0.030015655334949914,0.021710322823574952,0.011333333333333334,0.007571877794400365,0.11333333333333334,0.07571877794400365,0.047190597011080755,0.034212242335732716,0.010333333333333333,0.0049328828623162475,0.20666666666666667,0.09865765724632493,0.07071793052596538,0.03944688656555358
ncf,64,0.001,2,0.012000000000000002,0.0069282032302755096,0.06,0.03464101615137755,0.029723496996024234,0.021204325475779943,0.01,0.0052915026221291815,0.09999999999999999,0.05291502622129181,0.04288470539663533,0.026782547017913806,0.010333333333333333,0.0049328828623162475,0.20666666666666667,0.09865765724632493,0.06989653200368967,0.03827932600652354
ncf,64,0.001,4,0.013333333333333334,0.006110100926607787,0.06666666666666667,0.030550504633038936,0.04055678566330175,0.021146346131879403,0.011333333333333334,0.003055050463303894,0.11333333333333334,0.030550504633038936,0.055499643780317486,0.02151482077993974,0.011000000000000001,0.0010000000000000002,0.22,0.01999999999999999,0.08232271856069598,0.019060009891900608
