exp_name,family,model,dim,lr,epochs,seed,run_dir,val_precision@5,val_recall@5,val_ndcg@5,val_precision@10,val_recall@10,val_ndcg@10,val_precision@20,val_recall@20,val_ndcg@20,test_precision@5,test_recall@5,test_ndcg@5,test_precision@10,test_recall@10,test_ndcg@10,test_precision@20,test_recall@20,test_ndcg@20
mf_d16_lr0.001_ep2_s11,ranking,mf,16,0.001,2,11,runs/mf_d16_lr0.001_ep2_s11_20260309_185347,0.012,0.06,0.0477370561446908,0.008,0.08,0.0544037228113575,0.009,0.18,0.0789675367854797,0.016,0.08,0.0677370561446908,0.016,0.16,0.09350039487156,0.012,0.24,0.1141061703800154
mf_d16_lr0.0005_ep2_s11,ranking,mf,16,0.0005,2,11,runs/mf_d16_lr0.0005_ep2_s11_20260309_185406,0.012,0.06,0.0477370561446908,0.008,0.08,0.0544037228113575,0.009,0.18,0.0789675367854797,0.016,0.08,0.0677370561446908,0.016,0.16,0.09350039487156,0.012,0.24,0.1141061703800154
mf_d16_lr0.0005_ep4_s11,ranking,mf,16,0.0005,4,11,runs/mf_d16_lr0.0005_ep4_s11_20260309_185416,0.012,0.06,0.0477370561446908,0.008,0.08,0.0544037228113575,0.009,0.18,0.0789675367854797,0.016,0.08,0.0677370561446908,0.016,0.16,0.09350039487156,0.012,0.24,0.1141061703800154
mf_d16_lr0.001_ep4_s11,ranking,mf,16,0.001,4,11,runs/mf_d16_lr0.001_ep4_s11_20260309_185357,0.012,0.06,0.0477370561446908,0.008,0.08,0.0544037228113575,0.009,0.18,0.0789675367854797,0.016,0.08,0.0677370561446908,0.016,0.16,0.09350039487156,0.012,0.24,0.1140180993159856
ncf_d64_lr0.0005_ep4_s33,ranking,ncf,64,0.0005,4,33,runs/ncf_d64_lr0.0005_ep4_s33_20260309_185621,0.016,0.08,0.0398456573943648,0.016,0.16,0.0637381478960745,0.009,0.18,0.0691429109846209,0.02,0.1,0.0550828475372231,0.02,0.2,0.086578088554937,0.016,0.32,0.1161866857592263
ncf_d16_lr0.0005_ep2_s33,ranking,ncf,16,0.0005,2,33,runs/ncf_d16_lr0.0005_ep2_s33_20260309_185531,0.016,0.08,0.0372270623229357,0.008,0.08,0.0372270623229357,0.011,0.22,0.0731567796376985,0.02,0.1,0.0652371901428583,0.014,0.14,0.0781426304113765,0.015,0.3,0.1179350485701377
ncf_d64_lr0.001_ep4_s33,ranking,ncf,64,0.001,4,33,runs/ncf_d64_lr0.001_ep4_s33_20260309_185601,0.012,0.06,0.0386135311614678,0.014,0.14,0.065549085225735,0.012,0.24,0.0899014120386171,0.02,0.1,0.0649641184676265,0.014,0.14,0.0781088621230666,0.012,0.24,0.1031237059692078
mf_d16_lr0.0005_ep2_s33,ranking,mf,16,0.0005,2,33,runs/mf_d16_lr0.0005_ep2_s33_20260309_185412,0.012,0.06,0.0403556512161199,0.012,0.12,0.0595703890203527,0.013,0.26,0.093726723559365,0.02,0.1,0.0584591885558327,0.016,0.16,0.0774557526714936,0.013,0.26,0.1028557312077281
ncf_d16_lr0.001_ep2_s33,ranking,ncf,16,0.001,2,33,runs/ncf_d16_lr0.001_ep2_s33_20260309_185511,0.016,0.08,0.0586135311614678,0.012,0.12,0.0706547309880271,0.01,0.2,0.0903750805939206,0.02,0.1,0.0526185950714291,0.018,0.18,0.0770866283926628,0.013,0.26,0.0977767095336947
ncf_d64_lr0.0005_ep2_s33,ranking,ncf,64,0.0005,2,33,runs/ncf_d64_lr0.0005_ep2_s33_20260309_185611,0.02,0.1,0.0689691823775878,0.014,0.14,0.0807710788172252,0.012,0.24,0.1055951321352984,0.016,0.08,0.0538507213043261,0.014,0.14,0.0752231525308075,0.014,0.28,0.1093583136621237
ncf_d64_lr0.001_ep2_s33,ranking,ncf,64,0.001,2,33,runs/ncf_d64_lr0.001_ep2_s33_20260309_185551,0.016,0.08,0.0372270623229357,0.016,0.16,0.0611195528246454,0.01,0.2,0.0714065900050008,0.02,0.1,0.0542063725204461,0.016,0.16,0.0736604137116008,0.016,0.32,0.1140127894656266
mf_d16_lr0.001_ep4_s33,ranking,mf,16,0.001,4,33,runs/mf_d16_lr0.001_ep4_s33_20260309_185403,0.012,0.06,0.0403556512161199,0.012,0.12,0.0595703890203527,0.013,0.26,0.0939115561343967,0.02,0.1,0.0584591885558327,0.014,0.14,0.0714351527582139,0.013,0.26,0.1023333762033335
mf_d16_lr0.001_ep2_s33,ranking,mf,16,0.001,2,33,runs/mf_d16_lr0.001_ep2_s33_20260309_185354,0.012,0.06,0.0403556512161199,0.012,0.12,0.0595703890203527,0.013,0.26,0.093726723559365,0.02,0.1,0.0584591885558327,0.014,0.14,0.0714351527582139,0.013,0.26,0.1023333762033335
mf_d16_lr0.0005_ep4_s33,ranking,mf,16,0.0005,4,33,runs/mf_d16_lr0.0005_ep4_s33_20260309_185422,0.012,0.06,0.0403556512161199,0.012,0.12,0.0595703890203527,0.013,0.26,0.093726723559365,0.02,0.1,0.0584591885558327,0.014,0.14,0.0714351527582139,0.013,0.26,0.1023333762033335
ncf_d16_lr0.0005_ep4_s33,ranking,ncf,16,0.0005,4,33,runs/ncf_d16_lr0.0005_ep4_s33_20260309_185541,0.016,0.08,0.0586135311614678,0.012,0.12,0.0706547309880271,0.012,0.24,0.0994818905417988,0.02,0.1,0.0526185950714291,0.016,0.16,0.0713053318663051,0.013,0.26,0.0969954130073369
