exp_name,family,model,dim,lr,epochs,seed,run_dir,val_precision@5,val_recall@5,val_ndcg@5,val_precision@10,val_recall@10,val_ndcg@10,val_precision@20,val_recall@20,val_ndcg@20,test_precision@5,test_recall@5,test_ndcg@5,test_precision@10,test_recall@10,test_ndcg@10,test_precision@20,test_recall@20,test_ndcg@20
ncf_d64_lr0.0005_ep4_s33,ranking,ncf,64,0.0005,4,33,runs/ncf_d64_lr0.0005_ep4_s33_20260309_185621,0.016,0.08,0.0398456573943648,0.016,0.16,0.0637381478960745,0.009,0.18,0.0691429109846209,0.02,0.1,0.0550828475372231,0.02,0.2,0.086578088554937,0.016,0.32,0.1161866857592263
ncf_d64_lr0.001_ep2_s33,ranking,ncf,64,0.001,2,33,runs/ncf_d64_lr0.001_ep2_s33_20260309_185551,0.016,0.08,0.0372270623229357,0.016,0.16,0.0611195528246454,0.01,0.2,0.0714065900050008,0.02,0.1,0.0542063725204461,0.016,0.16,0.0736604137116008,0.016,0.32,0.1140127894656266
ncf_d16_lr0.0005_ep2_s33,ranking,ncf,16,0.0005,2,33,runs/ncf_d16_lr0.0005_ep2_s33_20260309_185531,0.016,0.08,0.0372270623229357,0.008,0.08,0.0372270623229357,0.011,0.22,0.0731567796376985,0.02,0.1,0.0652371901428583,0.014,0.14,0.0781426304113765,0.015,0.3,0.1179350485701377
mf_d64_lr0.001_ep2_s22,ranking,mf,64,0.001,2,22,runs/mf_d64_lr0.001_ep2_s22_20260309_185429,0.012,0.06,0.041232126232897,0.008,0.08,0.0483562699750574,0.01,0.2,0.0791923526591976,0.02,0.1,0.051587777449017,0.016,0.16,0.0705156700561607,0.014,0.28,0.1000645963451585
ncf_d64_lr0.0005_ep2_s33,ranking,ncf,64,0.0005,2,33,runs/ncf_d64_lr0.0005_ep2_s33_20260309_185611,0.02,0.1,0.0689691823775878,0.014,0.14,0.0807710788172252,0.012,0.24,0.1055951321352984,0.016,0.08,0.0538507213043261,0.014,0.14,0.0752231525308075,0.014,0.28,0.1093583136621237
mf_d64_lr0.0005_ep2_s22,ranking,mf,64,0.0005,2,22,runs/mf_d64_lr0.0005_ep2_s22_20260309_185448,0.012,0.06,0.0486135311614678,0.008,0.08,0.0557376749036283,0.01,0.2,0.0865737575877685,0.02,0.1,0.051587777449017,0.016,0.16,0.0705156700561607,0.014,0.28,0.1002683470137958
mf_d64_lr0.001_ep4_s22,ranking,mf,64,0.001,4,22,runs/mf_d64_lr0.001_ep4_s22_20260309_185438,0.012,0.06,0.041232126232897,0.008,0.08,0.0483562699750574,0.01,0.2,0.0791923526591976,0.02,0.1,0.051587777449017,0.016,0.16,0.0705156700561607,0.014,0.28,0.1000645963451585
mf_d64_lr0.0005_ep4_s22,ranking,mf,64,0.0005,4,22,runs/mf_d64_lr0.0005_ep4_s22_20260309_185458,0.012,0.06,0.041232126232897,0.008,0.08,0.0483562699750574,0.01,0.2,0.0791923526591976,0.02,0.1,0.051587777449017,0.016,0.16,0.0705156700561607,0.014,0.28,0.1000645963451585
mf_d64_lr0.0005_ep2_s33,ranking,mf,64,0.0005,2,33,runs/mf_d64_lr0.0005_ep2_s33_20260309_185451,0.008,0.04,0.0177370561446908,0.004,0.04,0.0177370561446908,0.01,0.2,0.0578288241120369,0.004,0.02,0.01,0.012,0.12,0.0438203944195057,0.013,0.26,0.0787053352641025
ncf_d16_lr0.001_ep2_s33,ranking,ncf,16,0.001,2,33,runs/ncf_d16_lr0.001_ep2_s33_20260309_185511,0.016,0.08,0.0586135311614678,0.012,0.12,0.0706547309880271,0.01,0.2,0.0903750805939206,0.02,0.1,0.0526185950714291,0.018,0.18,0.0770866283926628,0.013,0.26,0.0977767095336947
